staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
36,0.5,11.5,52.979145790000985,53.46911493799962,53.46911493799962,53.48101826799939,53.77170679200026,right,11.5,1,1,0.405628163000074,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
37,0.5,11.0,53.89211556200098,54.38041867799984,54.38041867799984,54.392464917000325,54.67631762000019,right,11.0,1,1,0.44343470099920523,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
38,0.5,11.0,54.84849577000023,55.331204871999944,55.331204871999944,55.3417417590008,55.63036759299939,right,11.0,1,1,0.4840478490004898,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
39,0.5,11.0,55.83271269299985,56.32640595399971,56.32640595399971,56.338503937000496,56.621916084000986,left,-11.0,1,1,0.4633348949992069,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
40,0.5,10.5,56.810725862000254,57.306513957999414,57.306513957999414,57.31616711999959,57.62072007700044,left,-10.5,1,1,0.4535778619992925,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
41,0.5,10.5,57.77479925899934,58.260901391000516,58.260901391000516,58.28685807799957,58.558086393999474,right,10.5,1,1,0.4252559699998528,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
42,0.5,10.5,58.699459567000304,59.19368653799938,59.19368653799938,59.206546419000006,59.4918193529993,left,-10.5,1,1,0.39985742200042296,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
43,0.5,10.0,59.62192458999925,60.12124129699987,60.12124129699987,60.140756022999994,60.4215956879998,left,-10.0,1,1,0.39886169799865456,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
44,0.5,10.0,60.533912255999894,61.02521638399958,61.02521638399958,61.040777244999845,61.325806266000654,right,10.0,1,1,0.5058057320002263,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
45,0.5,10.0,61.549056322999604,62.12623649099987,62.12623649099987,62.12623649099987,62.42553206699995,left,-10.0,1,1,0.39937147299860953,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
46,0.5,9.5,62.554961578000075,63.0392522559996,63.0392522559996,63.05223599400051,63.33166140499998,right,9.5,1,1,0.4176856799986126,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
47,0.5,9.5,63.47748767499979,63.96703199700096,63.96703199700096,63.97762132299977,64.2635685919995,right,9.5,1,1,0.47803771199869516,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
48,0.5,9.5,64.46622066599957,64.95509206099996,64.95509206099996,64.96546035900064,65.24680029299998,right,9.5,1,1,0.47541205500056094,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
49,0.5,9.0,65.44558018300086,65.93595519299924,65.93595519299924,65.94827376099965,66.23000643100022,right,9.0,1,1,0.5500868449998961,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
50,0.5,9.0,66.49969909399988,66.98206742500042,66.98206742500042,66.99277346000054,67.28073317900089,right,9.0,1,1,0.4338224449984409,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
51,0.5,9.0,67.42999357400004,67.92375290900054,67.92375290900054,67.93638374500006,68.23937447999924,left,-9.0,1,1,0.44135188099971856,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
52,0.5,8.5,68.3813240620002,68.87083732700012,68.87083732700012,68.88132679999944,69.17153354999937,right,8.5,1,1,0.43273364799824776,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
53,0.5,8.5,69.3219528009995,69.8084167119996,69.8084167119996,69.82256655499987,70.10865432299943,left,-8.5,1,1,0.4065100519983389,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
54,0.5,8.5,70.23252325400063,70.71500981800091,70.71500981800091,70.72641902699979,71.01294423999934,right,8.5,1,1,0.4621110719999706,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
55,0.5,8.0,71.1939926720006,71.68779836400063,71.68779836400063,71.69955708199996,71.98831332100053,right,8.0,1,1,0.4114796479989309,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
56,0.5,8.0,72.12073236499964,72.6170245079993,72.6170245079993,72.6170245079993,72.91583255099977,right,8.0,1,1,0.32571120399916254,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
57,0.5,8.0,72.96483871900091,73.4488933699995,73.4488933699995,73.45975432600062,73.75458562899985,left,-8.0,1,1,0.4466563719979604,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
58,0.5,7.5,73.9112144970004,74.42191563900087,74.42191563900087,74.42191563900087,74.716847357,right,7.5,1,1,0.5585262620006688,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
59,0.5,7.5,74.99437991500054,75.48074833300052,75.48074833300052,75.49456437799927,75.77570159400057,left,-7.5,1,1,0.38981949699882534,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
60,0.5,7.5,75.88886645999992,76.37629391600058,76.37629391600058,76.38830692400006,76.67586534399925,left,-7.5,1,1,0.5164177639999252,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
